cover_idx,"album_cover","album","description"
952,"Delta Lady_ The Rita Coolidge Anthology [Disc 2].jpg","Delta Lady _ The Anthology","No description"
953,"4 John Paul George Ringo - EP.jpg","4 John Paul George Ringo - EP","No description"
954,"SingingWinthEmmylouHarris.jpg","Singin' With Emmylou Volume 1 (P) 2000","No description"
955,"Yard birds The Ultimate Collection.jpg","The Ultimate Collection","No description"
957,"Duran Duran Greatest.jpg","Greatest","No description"
958,"JohnColtrane_Blue_Train.jpg","Blue Train [Expanded Edition]","No description"
959,"JohnColtrane_Newport_63.jpg","Newport '63 [Live]","No description"
960,"JohnColtrane_Live_in_Seattle.jpg","Live in Seattle [Disc 1]","No description"
961,"JohnColtrane_Live_in_Seattle.jpg","Live In Seattle [Disc 2]","No description"
962,"JohnColtrane_Ballads.jpg","Ballads (Deluxe Edition) [Disc 1]","No description"
963,"JohnColtrane_Ballads.jpg","Ballads (Deluxe Edition) [Disc 2]","No description"
964,"JohnColtrane_-_Live_at_the_Village_Vanguard_Again.jpg","Coltrane Live At the Village Vangard Again!","No description"
965,"JohnColtrane_prestige_7105.jpg","Coltrane_Prestige 7105","No description"
966,"JohnColtrane_StarDust.jpg","Stardust","No description"
967,"JohnColtrane His Greatest Years.jpg","John Coltrane His Greatest Years","No description"
968,"Coltrane Giant Steps.jpg","Giant Steps","No description"
969,"Coltrane_Favorite_Things.jpg","My Favorite Things","No description"
970,"Coltrane_Impressions.jpg","Impressions","No description"
971,"John_Coltrane_and_Johnny_Hartman.jpg","John Coltrane & Johnny Hartman","No description"
972,"DonCherry_JohnColtrane_aventeGarde.jpg","The Avant-Garde 6_28_60,7_8_60","No description"
973,"JohnColtrane_JazzManifesto.jpg","Jazz Manifesto","No description"
974,"Kenny Burrell & John Coltrane.jpg","Kenny Burrell & John Coltrane","No description"
975,"At Carnegie Hall.jpg","At Carnegie Hall","No description"
976,"Grateful_Dead_The_Grateful_Dead.jpg","The Grateful Dead [Bonus Tracks]","No description"
977,"Grateful_Dead_-_Anthem_of_the_Sun.jpg","Anthem Of The Sun","No description"
978,"GratefulDead_Blues For Allah.jpg","Blues For Allah","No description"
